time,physical_contacts,distinct_contacting_grippers,normal_force_total,tangential_force_total,global_force_ratio,maximum_contact_friction_utilization,FL_contact_count,FL_normal_force,FL_tangential_force,FL_force_ratio,FL_maximum_friction_utilization,FR_contact_count,FR_normal_force,FR_tangential_force,FR_force_ratio,FR_maximum_friction_utilization,RL_contact_count,RL_normal_force,RL_tangential_force,RL_force_ratio,RL_maximum_friction_utilization,RR_contact_count,RR_normal_force,RR_tangential_force,RR_force_ratio,RR_maximum_friction_utilization,base_x,base_y,base_z,base_position_drift,base_orientation_drift_rad,base_linear_speed,base_angular_speed,signed_mechanical_power,absolute_mechanical_power,peak_absolute_actuator_power
0.0,6,4,128.0057335301855,80.54429176171513,0.6292240944248149,1.0,1,35.49647615297784,7.381952014687772,0.20796295336117446,0.20796295336117446,1,40.21412669835928,23.743688602244976,0.5904315361699427,0.5904315361699427,2,34.10850898007406,34.10850898007406,1.0,1.0,2,18.18662169877431,15.310142164708322,0.8418354116718748,0.9999999999999998,-0.04999672600161716,3.8306667815384286e-07,0.2699985117254704,0.0,0.0,0.001808367120238769,0.0009039199135972559,0.12733435612778735,0.5868211749866729,0.1203153992651143
0.009999999999998899,6,4,126.13892176425992,79.24584893957508,0.6282426378091058,1.0000000000000002,1,35.173393551497206,6.609895038831886,0.18792315359490033,0.18792315359490033,1,39.941816313475954,23.457058777685265,0.5872807233799004,0.5872807233799004,2,33.667504984955784,33.66750498495578,0.9999999999999998,1.0,2,17.356206914330983,15.511390138102149,0.8937085282899242,1.0000000000000002,-0.049935316500718564,7.84923696132591e-06,0.26997429218759406,6.643385066557642e-05,3.8656277480704454e-05,0.009648624305201593,0.005969508813246486,0.14545815061536763,0.6753687284234685,0.130759446865753
0.019999999999997797,6,4,123.71439845635439,76.8217506733166,0.6209604672686405,1.0,1,34.78043273035107,5.708447884359414,0.1641281443683117,0.1641281443683117,1,39.56526229567532,22.808897407735728,0.5764879615174157,0.5764879615174157,2,32.90935596557567,32.90935596557567,1.0,1.0,2,16.45934746475233,15.395049415645786,0.9353377737856414,1.0,-0.04980706077346525,2.479759053750515e-05,0.26993307463893296,0.0002021162537741708,0.00012851358208638622,0.016021824553976174,0.011060686051028844,0.17137365123791326,0.8629781024070703,0.15622286475948727
0.029999999999996696,6,4,121.1901397583853,74.23573934803449,0.6125559347983013,1.0000000000000002,1,34.379702610215695,4.7946768533145745,0.1394624295525427,0.1394624295525427,1,39.222929373720056,22.058661517433073,0.562391995438584,0.562391995438584,2,32.02754081702902,32.02754081702902,1.0,1.0000000000000002,2,15.559966957420523,15.354860160257822,0.9868183012390727,1.0,-0.049622724725095886,5.0450143945783705e-05,0.26988641468113883,0.00039363614469906317,0.0002692589543027122,0.021151584419124573,0.016205950589157435,0.1816529413809028,1.0790580850135665,0.19450475258331804
0.039999999999995595,6,4,119.02684061998372,71.48960841597133,0.6006175417544332,1.0000000000000002,1,34.00747691834574,3.98872876086204,0.1172897586739307,0.1172897586739307,1,38.88907950389984,21.370595457371152,0.549526903953283,0.549526903953283,2,31.138349850939576,31.13834985093958,1.0000000000000002,1.0000000000000002,2,14.991934346798557,14.991934346798555,0.9999999999999999,1.0,-0.04939253757794171,8.395691692146964e-05,0.2698416030103388,0.0006298004323848664,0.0004600811817693891,0.025264343669366453,0.02113633274613788,0.17668308957048412,1.257625612250883,0.2301281603835923
0.04999999999999449,6,4,117.0554941384177,68.85608472800456,0.5882345398207665,1.0000000000000002,1,33.67437688941045,3.309196989065752,0.09827047431147544,0.09827047431147544,1,38.58014297601088,20.74591346594243,0.537735525729965,0.537735525729965,2,30.259656655528936,30.25965665552894,1.0000000000000002,1.0000000000000002,2,14.541317617467433,14.541317617467433,1.0,1.0,-0.04912559482173878,0.0001249184535007044,0.2698017093672299,0.0009017259912724924,0.0006986714722606282,0.028559174773415557,0.02585716575848971,0.16703171538800007,1.3825040870741707,0.2591517843538362
0.05999999999999339,6,4,115.69613719951828,65.26158046378322,0.5640774363213135,1.0,1,33.45433029988799,2.037214880188846,0.06089540163940053,0.06089540163940053,1,38.293556543099854,20.247273397579903,0.5287383890496397,0.5287383890496397,2,29.401515990237726,29.401515990237726,1.0,1.0,2,14.546734366292704,13.575576195776744,0.9332387499447092,0.9565344351834987,-0.04882937942356816,0.00017350792701951274,0.2697685280386567,0.0012023155770226716,0.0009922094755382281,0.031218160005210382,0.03198605850587374,0.21488440670778672,1.4031011365175772,0.28272561216748765
0.06999999999999229,6,4,114.1180833715892,63.62488845557959,0.5575355506839823,1.0000000000000002,1,33.17285684338741,1.6066910920698259,0.04843390786796524,0.04843390786796524,1,38.028775081136274,19.85002974067656,0.521973944685979,0.521973944685979,2,28.578360912159255,28.57836091215926,1.0000000000000002,1.0000000000000002,2,14.33809053490625,13.589806710673944,0.9478114730541978,1.0,-0.04851068486250189,0.00022912751838480584,0.26974181486860327,0.0015252985175548644,0.0013321832647298858,0.03321778732841173,0.03538564825771346,0.1211553592906913,1.4283254841500153,0.3000112612620806
0.07999999999999119,6,4,112.5506374358609,62.6492046835598,0.5566312738056381,1.0000000000000002,1,32.92466005294502,1.4843899040354216,0.045084441316886034,0.045084441316886034,1,37.77819627926669,19.317033675875184,0.5113275798843975,0.5113275798843975,2,27.75155649909014,27.75155649909014,1.0,1.0000000000000002,2,14.096224604559055,14.096224604559055,1.0,1.0000000000000002,-0.04817562164983499,0.0002901924830847048,0.26972017813568283,0.0018649075433173352,0.0017052213617930044,0.0346537858871635,0.03891137470145804,0.17692506619378093,1.4903560042115618,0.3125840276295372
0.08999999999999009,6,4,111.11122569379367,61.366822053865704,0.5523008289277963,1.0,1,32.69762924949241,1.5077915852328043,0.04611317761688215,0.04611317761688215,1,37.54914729395637,18.99458131828802,0.505859192209812,0.505859192209812,2,26.906474887076072,26.906474887076072,1.0,1.0,2,13.95797426326881,13.95797426326881,1.0,1.0,-0.047830174381733245,0.0003563920847331363,0.26970283648513677,0.0022154259613682546,0.0021028352678197576,0.0355306203728651,0.04033142467056091,0.08117568760322663,1.5239665930707633,0.3192567889415851
